OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,StoreCode
1,974,35,2025-05-02,6,6116.65,STORE_4
2,702,95,2025-10-18,2,7894.5,STORE_23
3,236,10,2025-08-19,3,2997.45,STORE_21
4,215,55,2025-10-07,7,9884.61,STORE_16
5,546,53,2025-03-12,2,7497.32,STORE_16
6,645,28,2025-07-13,5,8543.47,STORE_4
7,278,8,2025-12-07,3,9420.98,STORE_12
8,233,98,2025-12-30,3,7191.44,STORE_7
9,690,69,2025-02-03,2,3440.72,STORE_17
10,859,39,2025-11-25,4,7655.63,STORE_11
11,645,65,2025-05-08,1,3624.2,STORE_6
12,501,26,2025-06-12,3,3094.68,STORE_18
13,30,75,2025-04-18,9,8694.17,STORE_10
14,872,71,2025-02-07,7,4942.92,STORE_22
15,820,4,2025-01-27,2,2318.21,STORE_16
16,719,65,2025-09-07,2,4544.46,STORE_2
17,798,85,2025-04-01,4,659.65,STORE_17
18,511,34,2025-05-06,10,8266.29,STORE_12
19,292,31,2025-12-01,1,9790.25,STORE_16
20,45,50,2025-05-08,9,3156.74,STORE_23
21,40,14,2025-09-17,7,6933.46,STORE_12
22,73,100,2025-05-30,5,789.66,STORE_2
23,144,23,2025-03-15,10,8696.55,STORE_17
24,889,28,2025-12-23,10,199.42,STORE_21
25,997,13,2025-11-22,6,4037.95,STORE_8
26,355,56,2025-11-25,10,616.69,STORE_21
27,783,9,2025-01-29,6,8802.35,STORE_23
28,806,46,2025-06-05,1,8096.22,STORE_20
29,123,59,2025-12-13,5,1767.69,STORE_6
30,776,20,2025-05-21,1,8279.02,STORE_20
31,454,50,2025-11-21,2,3333.81,STORE_21
32,855,44,2025-07-08,2,9247.69,STORE_20
33,80,97,2025-11-17,3,469.99,STORE_2
34,341,89,2025-01-30,7,3701.6,STORE_16
35,125,71,2025-11-06,8,9887.07,STORE_13
36,653,12,2025-05-02,1,8772.58,STORE_11
37,187,27,2025-04-11,8,771.59,STORE_18
38,293,70,2025-03-11,9,4564.61,STORE_3
39,96,70,2025-10-08,5,9852.23,STORE_24
40,972,5,2025-02-25,4,8104.57,STORE_2
41,153,3,2025-11-20,9,4872.51,STORE_24
42,302,22,2025-04-04,1,738.68,STORE_17
43,325,41,2025-06-03,8,5321.5,STORE_1
44,343,84,2025-10-28,5,7615.71,STORE_16
45,575,3,2025-07-22,3,156.88,STORE_16
46,395,98,2025-08-27,2,3120.57,STORE_19
47,759,2,2025-05-20,4,5127.73,STORE_19
48,717,10,2025-10-18,2,7605.37,STORE_17
49,624,75,2025-09-04,4,839.9,STORE_9
50,41,29,2025-09-14,1,136.64,STORE_25
51,531,43,2025-11-14,2,9309.5,STORE_13
52,935,9,2025-01-28,6,4697.03,STORE_12
53,872,28,2025-04-07,3,6666.36,STORE_13
54,727,79,2025-09-28,4,5852.38,STORE_21
55,887,73,2025-11-11,6,6415.13,STORE_9
56,820,19,2025-10-10,1,4235.76,STORE_17
57,471,68,2025-06-26,2,3426.23,STORE_9
58,474,10,2025-09-30,1,8171.11,STORE_7
59,721,77,2025-06-19,6,7102.64,STORE_16
60,929,76,2025-06-01,6,3521.12,STORE_4
61,222,27,2025-07-20,9,7706.16,STORE_2
62,707,24,2025-04-06,3,3409.45,STORE_25
63,174,80,2025-09-24,6,7445.52,STORE_23
64,493,99,2025-09-11,2,4160.83,STORE_10
65,881,80,2025-12-29,8,2601.2,STORE_4
66,421,80,2025-04-23,6,8467.37,STORE_9
67,639,73,2025-11-09,1,2187.06,STORE_10
68,741,3,2025-06-12,4,1911.87,STORE_15
69,57,87,2025-05-21,5,1992.81,STORE_19
70,173,16,2025-06-26,2,7347.7,STORE_15
71,560,49,2025-03-12,8,5591.68,STORE_13
72,272,62,2025-10-03,2,1088.27,STORE_24
73,544,2,2025-02-19,3,7598.18,STORE_7
74,775,38,2025-07-14,6,4499.13,STORE_10
75,634,10,2025-12-29,6,3270.05,STORE_2
76,72,12,2025-11-28,2,9283.6,STORE_10
77,688,95,2025-11-08,1,2277.13,STORE_24
78,986,77,2025-01-03,6,6349.26,STORE_7
79,800,18,2025-04-07,9,3614.76,STORE_12
80,683,71,2025-09-30,10,1424.47,STORE_19
81,204,1,2025-11-19,3,840.16,STORE_20
82,947,58,2025-11-02,5,5280.31,STORE_6
83,233,57,2025-02-04,10,7959.91,STORE_16
84,973,72,2025-10-02,7,410.43,STORE_16
85,604,98,2025-08-14,9,3505.12,STORE_5
86,33,91,2025-03-11,1,1223.86,STORE_19
87,525,37,2025-03-17,2,2564.0,STORE_3
88,240,31,2025-03-24,6,1590.93,STORE_5
89,629,39,2025-06-28,2,9223.49,STORE_2
90,731,77,2025-11-24,9,7642.03,STORE_25
91,217,48,2025-01-09,4,3348.5,STORE_22
92,512,33,2025-11-02,10,3581.84,STORE_2
93,37,18,2025-10-17,7,6049.11,STORE_12
94,873,86,2025-05-23,7,9469.45,STORE_16
95,773,9,2025-08-22,2,475.42,STORE_15
96,401,53,2025-02-04,10,1455.47,STORE_9
97,155,95,2025-01-19,7,4953.92,STORE_17
98,742,59,2025-02-07,10,7091.75,STORE_21
99,373,19,2025-07-23,10,4728.36,STORE_2
100,381,29,2025-09-23,9,4247.08,STORE_19
101,617,7,2025-06-27,6,7984.54,STORE_15
102,933,60,2025-03-24,9,5599.71,STORE_18
103,979,70,2025-05-03,3,1161.27,STORE_12
104,537,24,2025-09-17,7,8014.8,STORE_17
105,824,57,2025-01-17,6,1750.84,STORE_17
106,889,86,2025-04-16,2,4060.82,STORE_1
107,269,2,2025-06-26,5,1481.29,STORE_14
108,710,65,2025-10-11,3,9616.84,STORE_14
109,380,98,2025-05-08,9,9520.71,STORE_21
110,989,91,2025-02-03,5,5866.34,STORE_22
111,386,30,2025-05-12,6,1952.6,STORE_17
112,701,79,2025-02-02,10,1083.27,STORE_16
113,972,94,2025-02-14,2,6293.09,STORE_25
114,204,100,2025-11-25,3,1962.92,STORE_20
115,187,90,2025-03-01,1,2813.15,STORE_6
116,191,5,2025-04-06,7,2383.82,STORE_4
117,726,84,2025-01-13,10,2268.62,STORE_1
118,390,80,2025-06-26,5,3738.82,STORE_18
119,853,47,2025-06-16,5,3888.62,STORE_14
120,839,23,2025-10-16,8,7231.97,STORE_12
121,956,4,2025-10-10,6,7101.56,STORE_18
122,53,95,2025-11-17,1,5457.45,STORE_5
123,368,36,2025-06-25,10,1294.91,STORE_2
124,448,13,2025-03-09,9,4376.34,STORE_20
125,509,98,2025-07-16,2,4577.12,STORE_19
126,780,20,2025-08-21,6,1835.13,STORE_25
127,965,89,2025-02-15,10,4510.59,STORE_10
128,130,70,2025-05-10,8,2044.84,STORE_5
129,919,90,2025-06-22,2,5885.84,STORE_6
130,880,28,2025-07-22,4,8981.14,STORE_5
131,898,15,2025-10-06,8,3893.97,STORE_16
132,4,72,2025-11-14,5,8549.93,STORE_15
133,58,62,2025-04-20,7,1855.64,STORE_10
134,38,98,2025-03-30,8,4160.97,STORE_10
135,701,27,2025-11-26,2,2906.09,STORE_6
136,120,62,2025-02-20,4,2557.26,STORE_11
137,261,51,2025-07-06,3,4043.42,STORE_25
138,195,39,2025-06-28,2,4722.08,STORE_12
139,835,5,2025-09-30,2,1367.25,STORE_17
140,866,24,2025-06-24,6,6232.93,STORE_2
141,20,88,2025-07-11,5,3976.9,STORE_7
142,552,86,2025-12-24,10,915.72,STORE_6
143,704,94,2025-11-08,4,7462.76,STORE_18
144,99,38,2025-07-03,3,6079.65,STORE_6
145,797,30,2025-06-30,8,9735.5,STORE_19
146,823,33,2025-12-19,4,6209.36,STORE_14
147,504,69,2025-05-31,3,4102.33,STORE_24
148,635,90,2025-04-20,1,3805.97,STORE_24
149,469,63,2025-07-06,9,6321.76,STORE_9
150,240,32,2025-03-07,2,5965.85,STORE_24
151,102,49,2025-09-21,5,5970.66,STORE_22
152,141,74,2025-02-25,1,3736.45,STORE_5
153,665,99,2026-01-01,9,5794.93,STORE_25
154,126,69,2025-12-10,5,4545.04,STORE_3
155,477,73,2025-04-25,5,7107.29,STORE_7
156,452,8,2025-04-07,3,5121.48,STORE_9
157,992,24,2025-02-03,5,3622.8,STORE_16
158,586,11,2025-03-16,10,5057.92,STORE_4
159,33,27,2025-04-06,7,1770.79,STORE_7
160,909,84,2025-11-24,2,8818.1,STORE_7
161,157,85,2025-03-27,8,3315.68,STORE_22
162,71,1,2025-12-31,5,7089.66,STORE_6
163,549,33,2025-01-07,8,8019.7,STORE_10
164,876,29,2025-07-05,7,8836.08,STORE_11
165,852,85,2025-06-13,5,3014.44,STORE_3
166,903,50,2025-01-16,6,3658.66,STORE_8
167,39,6,2025-01-06,3,7309.51,STORE_22
168,617,97,2025-01-18,6,3550.47,STORE_16
169,282,37,2025-02-06,3,8913.74,STORE_20
170,964,99,2025-05-09,2,5886.36,STORE_5
171,585,70,2025-08-03,4,705.84,STORE_16
172,103,29,2025-04-28,8,7632.17,STORE_15
173,587,46,2025-11-12,9,8051.88,STORE_12
174,263,19,2025-07-11,5,3809.28,STORE_23
175,529,53,2025-04-08,8,592.5,STORE_5
176,92,47,2025-03-29,2,9728.33,STORE_21
177,451,73,2025-09-22,1,3030.87,STORE_12
178,120,17,2025-04-10,4,176.44,STORE_14
179,802,38,2025-04-25,5,2635.59,STORE_11
180,630,39,2025-09-19,5,3341.03,STORE_15
181,690,26,2025-10-20,2,9714.01,STORE_25
182,664,83,2025-10-01,2,238.5,STORE_7
183,644,69,2025-06-30,10,2688.11,STORE_7
184,836,45,2025-10-24,10,1685.21,STORE_18
185,793,50,2025-09-26,10,8978.22,STORE_9
186,245,41,2025-03-02,8,3632.14,STORE_10
187,366,84,2025-06-04,7,9997.5,STORE_1
188,1000,87,2025-07-21,2,2133.59,STORE_19
189,386,12,2025-02-14,4,9873.87,STORE_22
190,471,31,2025-03-28,9,7918.93,STORE_25
191,859,2,2025-11-06,9,3162.66,STORE_12
192,744,64,2025-09-08,7,1847.38,STORE_22
193,887,10,2025-08-30,6,1493.45,STORE_1
194,94,11,2025-07-02,2,5874.1,STORE_18
195,741,23,2025-03-01,10,5812.42,STORE_10
196,129,88,2025-12-24,5,6412.7,STORE_12
197,85,28,2025-09-20,5,4116.3,STORE_20
198,927,7,2025-04-03,5,4354.98,STORE_4
199,463,28,2025-11-03,1,9189.95,STORE_15
200,405,1,2025-05-06,8,4083.69,STORE_5
201,505,26,2025-01-13,6,6086.56,STORE_17
202,914,95,2025-01-26,2,1751.25,STORE_17
203,424,92,2025-02-04,3,2526.27,STORE_13
204,675,55,2025-10-12,9,6287.1,STORE_18
205,142,47,2025-05-25,5,4093.1,STORE_6
206,481,41,2025-10-03,9,1154.09,STORE_12
207,652,39,2025-05-18,6,9127.09,STORE_25
208,35,67,2025-05-10,3,5328.56,STORE_8
209,45,71,2025-11-03,2,4124.99,STORE_5
210,35,53,2025-03-22,8,9422.43,STORE_19
211,326,63,2025-06-25,4,2921.91,STORE_21
212,249,34,2025-09-06,5,4165.53,STORE_6
213,813,26,2025-12-12,6,7455.37,STORE_8
214,748,46,2025-12-19,2,2173.93,STORE_1
215,774,62,2025-10-03,9,9798.28,STORE_3
216,545,98,2025-12-06,7,645.16,STORE_1
217,159,20,2025-08-26,1,8943.07,STORE_20
218,241,33,2025-07-12,10,176.16,STORE_12
219,794,62,2025-02-26,2,8281.53,STORE_7
220,125,63,2025-01-11,6,5825.21,STORE_16
221,515,91,2025-06-11,9,1396.42,STORE_3
222,629,85,2025-12-16,6,8111.93,STORE_9
223,947,8,2025-03-23,4,3513.25,STORE_22
224,979,11,2025-03-10,6,7005.94,STORE_17
225,767,23,2025-10-13,1,6095.76,STORE_20
226,599,78,2025-06-09,3,1414.94,STORE_20
227,409,36,2025-10-24,3,8528.2,STORE_16
228,492,68,2025-12-11,5,1533.21,STORE_15
229,945,74,2025-12-30,8,7451.98,STORE_8
230,652,97,2025-02-16,6,6907.91,STORE_23
231,588,68,2025-08-18,8,831.13,STORE_6
232,400,24,2025-02-25,6,6555.3,STORE_22
233,594,97,2025-10-16,9,643.45,STORE_16
234,262,88,2025-04-03,3,7225.09,STORE_3
235,952,64,2025-06-26,2,9847.51,STORE_12
236,145,19,2025-07-27,4,7919.46,STORE_16
237,635,90,2025-04-09,3,9708.41,STORE_5
238,396,71,2025-07-20,4,3394.66,STORE_22
239,787,19,2025-07-24,5,1026.07,STORE_5
240,36,96,2025-10-07,2,9733.96,STORE_9
241,472,93,2025-06-10,5,6720.42,STORE_2
242,201,59,2025-04-03,4,4100.44,STORE_12
243,929,86,2025-09-10,7,7548.24,STORE_5
244,246,65,2025-11-20,4,7199.63,STORE_24
245,684,56,2025-09-09,7,5865.65,STORE_10
246,420,2,2025-05-23,3,8430.11,STORE_1
247,540,34,2025-11-22,7,4808.66,STORE_8
248,726,85,2025-06-14,3,8586.16,STORE_13
249,589,4,2025-03-25,6,3217.17,STORE_13
250,83,39,2025-09-24,9,6632.82,STORE_19
251,976,23,2025-04-12,10,5896.87,STORE_10
252,309,76,2025-03-29,2,865.17,STORE_11
253,830,70,2025-05-07,2,4846.71,STORE_3
254,30,50,2025-02-13,9,210.85,STORE_19
255,775,7,2025-10-09,7,8106.66,STORE_1
256,225,62,2025-12-24,3,3295.43,STORE_4
257,458,86,2025-02-02,10,3919.75,STORE_14
258,6,37,2025-12-04,7,2747.52,STORE_17
259,946,24,2025-06-14,3,5958.57,STORE_21
260,12,40,2025-07-17,10,5334.77,STORE_17
261,738,62,2025-05-21,8,7676.41,STORE_9
262,1,95,2025-01-31,2,4197.46,STORE_12
263,441,15,2025-02-26,4,6668.86,STORE_4
264,458,76,2025-04-11,2,9497.29,STORE_16
265,668,94,2025-02-17,4,3566.91,STORE_19
266,935,38,2025-08-15,3,4219.25,STORE_2
267,912,58,2025-07-10,6,8172.3,STORE_18
268,663,79,2025-07-01,7,9820.23,STORE_3
269,636,22,2025-10-20,10,3699.36,STORE_19
270,758,75,2025-11-13,9,9814.14,STORE_18
271,31,67,2025-08-02,8,5420.56,STORE_24
272,891,17,2025-09-17,10,9951.03,STORE_15
273,149,2,2025-03-10,4,7785.12,STORE_18
274,205,76,2025-03-02,7,6261.16,STORE_10
275,604,14,2025-10-28,7,2804.05,STORE_16
276,2,31,2025-06-01,7,4481.76,STORE_5
277,942,81,2025-10-31,1,5209.36,STORE_12
278,728,31,2025-01-03,4,2476.6,STORE_2
279,703,99,2025-12-17,7,163.09,STORE_17
280,269,93,2025-02-06,5,2782.22,STORE_9
281,66,64,2025-11-22,8,7562.32,STORE_25
282,626,14,2025-01-13,10,2674.48,STORE_18
283,998,21,2025-05-27,2,1232.2,STORE_21
284,464,21,2025-05-29,10,9847.67,STORE_13
285,376,24,2025-03-03,4,651.88,STORE_1
286,499,28,2025-07-12,1,9563.49,STORE_4
287,532,32,2025-01-20,8,8513.85,STORE_17
288,776,79,2025-11-10,8,3724.4,STORE_4
289,760,72,2025-11-09,8,2845.41,STORE_7
290,902,64,2025-01-14,5,1371.94,STORE_23
291,885,38,2025-08-14,6,6932.84,STORE_12
292,557,23,2025-07-06,8,3939.9,STORE_10
293,883,87,2025-01-04,2,5697.22,STORE_12
294,309,64,2025-10-09,3,2142.51,STORE_2
295,171,44,2025-04-09,5,2914.39,STORE_6
296,248,19,2025-11-10,7,3637.6,STORE_16
297,847,24,2025-03-03,3,8460.11,STORE_4
298,398,64,2025-05-08,10,2758.45,STORE_20
299,44,42,2025-07-05,6,1816.44,STORE_20
300,66,71,2025-08-01,9,5262.76,STORE_20
301,513,36,2025-10-31,5,2102.57,STORE_4
302,905,71,2025-04-16,1,5928.8,STORE_8
303,24,20,2025-06-25,6,8539.46,STORE_22
304,252,32,2025-04-19,9,9206.93,STORE_5
305,776,85,2025-10-14,3,4098.02,STORE_15
306,893,87,2025-02-11,9,6295.84,STORE_3
307,490,40,2025-12-30,2,5015.79,STORE_16
308,690,38,2025-09-26,9,7181.38,STORE_5
309,299,52,2025-09-18,2,3765.6,STORE_24
310,668,86,2025-04-09,3,8795.52,STORE_24
311,484,41,2025-12-21,10,3567.35,STORE_10
312,395,21,2025-06-28,8,5446.86,STORE_25
313,27,95,2025-04-30,6,9387.24,STORE_20
314,844,95,2025-06-09,6,8001.84,STORE_6
315,375,22,2025-05-16,5,7447.07,STORE_19
316,838,85,2025-02-13,9,9630.06,STORE_14
317,242,40,2025-07-05,2,8433.98,STORE_1
318,293,65,2025-08-15,8,2866.44,STORE_8
319,906,65,2025-03-26,9,928.37,STORE_13
320,857,43,2025-10-18,3,8435.53,STORE_12
321,664,96,2025-05-10,4,6182.36,STORE_24
322,202,53,2025-03-30,10,6717.3,STORE_19
323,368,6,2025-08-14,8,7102.51,STORE_1
324,552,66,2025-11-24,4,1750.74,STORE_9
325,217,88,2025-06-08,1,3946.67,STORE_6
326,74,79,2025-02-28,2,1975.31,STORE_18
327,814,27,2025-08-14,1,2242.22,STORE_22
328,75,81,2025-11-25,5,3077.15,STORE_16
329,258,29,2025-03-28,2,6427.88,STORE_21
330,211,100,2025-06-05,5,6361.59,STORE_3
331,916,32,2025-11-01,3,7355.57,STORE_9
332,482,29,2025-03-17,8,9979.86,STORE_9
333,312,54,2025-12-26,1,5093.03,STORE_19
334,74,98,2025-02-23,6,1665.47,STORE_11
335,780,48,2025-06-03,5,2424.14,STORE_9
336,129,25,2025-04-11,10,7875.75,STORE_5
337,596,99,2025-07-07,10,7600.8,STORE_5
338,323,17,2025-01-15,4,8181.46,STORE_19
339,678,55,2025-07-27,3,806.87,STORE_20
340,56,31,2025-07-20,6,8777.93,STORE_10
341,550,29,2025-10-12,9,6583.06,STORE_19
342,67,17,2025-10-30,6,1870.78,STORE_12
343,819,77,2025-01-15,4,1097.91,STORE_23
344,333,89,2025-11-08,7,7313.98,STORE_12
345,511,53,2025-04-25,1,6148.55,STORE_8
346,365,21,2025-05-28,7,6101.13,STORE_22
347,309,63,2025-06-09,7,7488.46,STORE_23
348,75,56,2025-06-06,10,582.0,STORE_12
349,694,67,2025-01-25,5,7534.45,STORE_22
350,711,90,2025-03-26,5,7086.4,STORE_14
351,212,52,2025-01-24,5,4311.83,STORE_9
352,960,39,2025-11-29,3,405.43,STORE_10
353,99,27,2025-09-29,8,1288.15,STORE_1
354,813,76,2025-07-02,6,2916.36,STORE_24
355,680,18,2025-06-14,1,2843.18,STORE_11
356,76,19,2025-01-27,6,1445.17,STORE_11
357,731,55,2025-01-21,8,1100.35,STORE_2
358,175,26,2025-09-22,1,267.09,STORE_7
359,187,100,2025-01-27,9,8766.82,STORE_8
360,329,15,2025-10-13,7,3485.89,STORE_9
361,923,54,2025-01-16,7,7802.9,STORE_16
362,13,77,2025-09-15,3,795.6,STORE_2
363,105,64,2025-09-10,8,2089.59,STORE_22
364,492,30,2025-06-04,3,2493.25,STORE_5
365,160,37,2025-11-14,7,2252.63,STORE_19
366,299,51,2025-01-10,7,9681.3,STORE_14
367,604,83,2025-08-27,8,7657.02,STORE_6
368,94,4,2025-01-11,3,5960.32,STORE_13
369,77,38,2025-05-04,8,7459.35,STORE_11
370,415,75,2025-12-15,6,7136.33,STORE_18
371,287,85,2025-06-26,8,2751.36,STORE_4
372,29,53,2025-01-22,3,1300.35,STORE_9
373,914,40,2025-08-23,6,1082.58,STORE_6
374,130,13,2025-01-20,8,8246.54,STORE_21
375,141,76,2025-12-29,10,6709.05,STORE_18
376,377,14,2025-09-13,8,8363.75,STORE_12
377,846,68,2025-10-19,2,2414.2,STORE_14
378,858,39,2025-11-17,7,5228.04,STORE_22
379,845,52,2025-12-02,7,7506.4,STORE_25
380,792,33,2025-11-14,9,6773.43,STORE_9
381,835,24,2025-10-28,9,3218.38,STORE_20
382,663,81,2025-02-07,9,1828.12,STORE_1
383,111,75,2025-09-20,2,7528.94,STORE_6
384,189,45,2025-07-03,4,7353.56,STORE_14
385,226,4,2025-08-31,1,9004.55,STORE_25
386,618,24,2025-08-20,8,5903.19,STORE_5
387,198,75,2025-09-11,2,8865.88,STORE_9
388,446,31,2025-01-02,4,3441.55,STORE_1
389,807,81,2025-02-11,9,5499.24,STORE_14
390,766,60,2025-01-16,8,3280.46,STORE_25
391,157,86,2025-11-21,1,2247.74,STORE_9
392,21,96,2025-12-22,8,136.4,STORE_3
393,549,30,2025-01-25,2,8512.52,STORE_7
394,173,90,2025-05-17,8,1951.86,STORE_3
395,14,20,2025-08-13,7,1836.95,STORE_3
396,494,28,2025-02-27,5,7298.76,STORE_21
397,826,98,2025-12-04,1,692.74,STORE_3
398,631,59,2025-05-01,7,6012.51,STORE_3
399,73,98,2025-09-04,9,800.9,STORE_19
400,656,97,2025-01-29,7,3053.86,STORE_21
401,452,74,2025-08-27,8,3143.19,STORE_20
402,26,51,2025-05-13,5,6623.96,STORE_17
403,413,27,2025-09-24,7,8881.62,STORE_9
404,976,90,2025-09-11,9,6684.29,STORE_7
405,145,33,2025-10-05,10,5521.92,STORE_18
406,703,75,2025-05-02,2,6301.48,STORE_5
407,596,79,2025-11-09,5,899.98,STORE_10
408,931,60,2025-07-07,1,4045.93,STORE_25
409,841,70,2025-01-29,2,129.2,STORE_13
410,245,10,2025-04-21,5,9953.27,STORE_21
411,528,72,2025-08-28,6,7541.09,STORE_3
412,920,3,2025-12-16,5,7631.93,STORE_17
413,200,70,2025-10-25,9,2192.41,STORE_24
414,838,4,2025-08-16,7,1057.51,STORE_7
415,995,87,2025-10-07,3,8793.26,STORE_9
416,659,19,2025-11-03,10,6178.72,STORE_2
417,360,66,2025-03-25,7,1526.67,STORE_11
418,274,70,2025-07-24,1,5780.64,STORE_8
419,787,64,2025-09-21,7,1517.35,STORE_8
420,352,45,2025-06-24,4,4364.13,STORE_14
421,754,85,2025-09-26,3,3527.09,STORE_17
422,294,68,2025-09-29,6,3724.34,STORE_24
423,410,8,2025-02-21,6,7496.43,STORE_8
424,641,96,2025-06-17,6,9804.39,STORE_22
425,521,6,2025-02-04,2,8036.92,STORE_23
426,399,58,2025-10-07,3,3335.93,STORE_18
427,693,48,2025-12-15,2,6586.26,STORE_2
428,307,79,2025-10-17,5,6333.79,STORE_17
429,582,69,2025-01-06,8,3247.67,STORE_23
430,186,7,2025-07-06,9,4297.05,STORE_13
431,520,24,2025-04-12,1,3062.23,STORE_23
432,96,3,2025-04-24,6,2419.62,STORE_18
433,684,29,2025-10-15,10,6057.52,STORE_6
434,613,93,2025-02-06,10,7344.18,STORE_21
435,931,3,2025-02-01,10,2011.99,STORE_17
436,810,71,2025-04-07,9,9065.15,STORE_23
437,127,89,2025-08-17,8,279.12,STORE_24
438,970,94,2025-11-30,7,5043.76,STORE_3
439,339,89,2025-05-09,6,6828.96,STORE_19
440,339,62,2025-11-06,9,3370.84,STORE_20
441,100,65,2025-09-06,4,8399.11,STORE_3
442,870,43,2025-09-29,10,6704.12,STORE_14
443,323,2,2025-04-21,8,6639.61,STORE_15
444,98,45,2025-09-06,1,3585.42,STORE_4
445,825,90,2025-12-29,5,7574.65,STORE_22
446,446,25,2025-08-14,2,6440.47,STORE_8
447,554,47,2025-07-31,9,8966.66,STORE_5
448,949,99,2025-11-22,8,4878.93,STORE_9
449,487,49,2025-05-27,8,3650.86,STORE_22
450,288,58,2025-06-09,9,2588.97,STORE_16
451,671,99,2025-11-06,6,7374.12,STORE_1
452,860,11,2025-07-28,6,5114.14,STORE_9
